"","ProtectionAreaFraction","y","run"
"7396",96.6465082373737,-0.000185271693153392,74
"7397",97.6638399030303,-0.000357034958144453,74
"7398",98.6811715686869,-0.00042947672579417,74
"7399",99.6985032343434,-0.000464289385418784,74
"7400",100.7158349,6.92838841482947e-05,74
"7401",0,9.56217121392144e-05,75
"7402",1.01733166565657,1.69958824479128e-05,75
"7403",2.03466333131313,-2.75946923090474e-05,75
"7404",3.0519949969697,-3.14712799940644e-05,75
"7405",4.06932666262626,-3.314484289811e-05,75
"7406",5.08665832828283,-3.314484289811e-05,75
"7407",6.10398999393939,-3.314484289811e-05,75
"7408",7.12132165959596,-3.314484289811e-05,75
"7409",8.13865332525253,-3.314484289811e-05,75
"7410",9.15598499090909,-3.314484289811e-05,75
"7411",10.1733166565657,-3.314484289811e-05,75
"7412",11.1906483222222,-3.314484289811e-05,75
"7413",12.2079799878788,-3.314484289811e-05,75
"7414",13.2253116535354,-3.314484289811e-05,75
"7415",14.2426433191919,-3.314484289811e-05,75
"7416",15.2599749848485,-3.314484289811e-05,75
"7417",16.2773066505051,-3.314484289811e-05,75
"7418",17.2946383161616,-3.2363031657176e-05,75
"7419",18.3119699818182,-3.2363031657176e-05,75
"7420",19.3293016474747,-3.2363031657176e-05,75
"7421",20.3466333131313,-3.2363031657176e-05,75
"7422",21.3639649787879,-3.2363031657176e-05,75
"7423",22.3812966444444,-3.2363031657176e-05,75
"7424",23.398628310101,-3.2363031657176e-05,75
"7425",24.4159599757576,-2.91043151681144e-05,75
"7426",25.4332916414141,-2.98102518149605e-05,75
"7427",26.4506233070707,-2.98102518149605e-05,75
"7428",27.4679549727273,-2.90474423150733e-05,75
"7429",28.4852866383838,-2.90474423150733e-05,75
"7430",29.5026183040404,-2.90474423150733e-05,75
"7431",30.519949969697,-2.90474423150733e-05,75
"7432",31.5372816353535,-2.80749696231389e-05,75
"7433",32.5546133010101,-2.80749696231389e-05,75
"7434",33.5719449666667,-2.80749696231389e-05,75
"7435",34.5892766323232,-2.80749696231389e-05,75
"7436",35.6066082979798,-2.80749696231389e-05,75
"7437",36.6239399636364,-2.80749696231389e-05,75
"7438",37.6412716292929,-2.80749696231389e-05,75
"7439",38.6586032949495,-2.80749696231389e-05,75
"7440",39.6759349606061,-2.80749696231389e-05,75
"7441",40.6932666262626,-2.80749696231389e-05,75
"7442",41.7105982919192,-2.80749696231389e-05,75
"7443",42.7279299575758,-2.80749696231389e-05,75
"7444",43.7452616232323,-2.80749696231389e-05,75
"7445",44.7625932888889,-2.80749696231389e-05,75
"7446",45.7799249545455,-2.80749696231389e-05,75
"7447",46.797256620202,-2.80749696231389e-05,75
"7448",47.8145882858586,-2.80749696231389e-05,75
"7449",48.8319199515151,-2.80749696231389e-05,75
"7450",49.8492516171717,-2.80749696231389e-05,75
