"","WildfireIntensity","y","run"
"273",5704.98966109091,5.13705754152157e-05,3
"274",5784.22562860606,5.13705754152157e-05,3
"275",5863.46159612121,5.13705754152157e-05,3
"276",5942.69756363636,5.13705754152157e-05,3
"277",6021.93353115152,5.13705754152157e-05,3
"278",6101.16949866667,5.13705754152157e-05,3
"279",6180.40546618182,5.13705754152157e-05,3
"280",6259.64143369697,5.13705754152157e-05,3
"281",6338.87740121212,5.13705754152157e-05,3
"282",6418.11336872727,5.13705754152157e-05,3
"283",6497.34933624242,5.13705754152157e-05,3
"284",6576.58530375758,5.13705754152157e-05,3
"285",6655.82127127273,5.13705754152157e-05,3
"286",6735.05723878788,5.13705754152157e-05,3
"287",6814.29320630303,5.13705754152157e-05,3
"288",6893.52917381818,5.13705754152157e-05,3
"289",6972.76514133333,5.13705754152157e-05,3
"290",7052.00110884848,5.13705754152157e-05,3
"291",7131.23707636364,5.13705754152157e-05,3
"292",7210.47304387879,5.13705754152157e-05,3
"293",7289.70901139394,5.13705754152157e-05,3
"294",7368.94497890909,5.13705754152157e-05,3
"295",7448.18094642424,5.13705754152157e-05,3
"296",7527.41691393939,5.13705754152157e-05,3
"297",7606.65288145455,5.13705754152157e-05,3
"298",7685.8888489697,5.13705754152157e-05,3
"299",7765.12481648485,5.13705754152157e-05,3
"300",7844.360784,5.13705754152157e-05,3
"301",0,-3.12500071875601e-05,4
"302",79.2359675151515,-2.08085078894995e-05,4
"303",158.471935030303,-2.08085078894995e-05,4
"304",237.707902545455,-2.08085078894995e-05,4
"305",316.943870060606,-2.08085078894995e-05,4
"306",396.179837575758,-2.08085078894995e-05,4
"307",475.415805090909,-2.08085078894995e-05,4
"308",554.651772606061,-2.08085078894995e-05,4
"309",633.887740121212,-2.08085078894995e-05,4
"310",713.123707636364,-2.08085078894995e-05,4
"311",792.359675151515,-2.08085078894995e-05,4
"312",871.595642666667,-2.08085078894995e-05,4
"313",950.831610181818,-2.08085078894995e-05,4
"314",1030.06757769697,-2.08085078894995e-05,4
"315",1109.30354521212,-2.08085078894995e-05,4
"316",1188.53951272727,-2.08085078894995e-05,4
"317",1267.77548024242,-2.08085078894995e-05,4
"318",1347.01144775758,-2.08085078894995e-05,4
"319",1426.24741527273,-2.08085078894995e-05,4
"320",1505.48338278788,-1.94414089705178e-05,4
"321",1584.71935030303,-1.94414089705178e-05,4
"322",1663.95531781818,-1.94414089705178e-05,4
"323",1743.19128533333,-1.94414089705178e-05,4
"324",1822.42725284848,-1.94414089705178e-05,4
"325",1901.66322036364,-1.94414089705178e-05,4
"326",1980.89918787879,-1.22174000068237e-05,4
"327",2060.13515539394,-6.05258137167112e-06,4
"328",2139.37112290909,3.7559583113615e-06,4
"329",2218.60709042424,3.7559583113615e-06,4
"330",2297.84305793939,3.7559583113615e-06,4
"331",2377.07902545455,3.7559583113615e-06,4
